bundle,key,english,zh_hans,source
Resources.bundle,DISABLE_VOIP_BLACKLIST_LABEL,Blocked Contacts,已屏蔽联系人,key_override
Resources.bundle,DISABLE_VOIP_LABEL,Block Incoming Calls,屏蔽来电,key_override
Resources.bundle,ADD_STICKERS_ALERT_TITLE,Add Sticker Pack,添加贴纸包,key_override
Resources.bundle,HIDE_LAST_MESSAGE_ALL,All,全部,value_override
Resources.bundle,HIDE_CHAT_CONTACT_PICTURE_LABEL,Hide Picture in Chats,在聊天中隐藏头像,key_override
Resources.bundle,CHAT_LIST_FILTER_SECTION_HEADER,Filter,筛选,key_override
Resources.bundle,CHAT_LIST_SORT_MESSAGE_DATE_ASC_TITLE,Message Date Asc,消息时间升序,key_override
Resources.bundle,MORE_TWEAKS_ONLINENOTIFY_DESC,"View and track your contacts online status, messages and status receipts",查看并跟踪联系人的在线状态、消息和状态回执。,key_override
Resources.bundle,FAVORITES_CONTROLLER_ADD_ALL_MESSAGE,Add all favorite contacts,添加所有收藏联系人,key_override
Resources.bundle,STATUS_SPLIT_VIDEO_LIMIT_MESSAGE,Videos longer than 15 minutes are not supported,不支持超过 15 分钟的视频。,key_override
Resources.bundle,CONTACT_ICON_NOTIFICATIONS_DESC,Replace WhatsApp Icon on notifications with your contact profile picture,将通知中的 WhatsApp 图标替换为联系人头像。,key_override
Resources.bundle,KEYBOARD_STYLE_DEFAULT,Default,默认,value_override
Resources.bundle,RESET_SETTINGS_FILES_FOOTER,Reset specific settings only,仅重置指定设置,key_override
Resources.bundle,AUTO_REPLY_RECIPIENTS_UNKNOWN_CONTACTS,Unknown Contacts,未知联系人,key_override
Resources.bundle,MEDIA_DELETE_BUTTON_DESC,Adds a new delete button in media gallery to delete all contact media at once.,在媒体图库中新增删除按钮，可一次删除该联系人的所有媒体。,key_override
Resources.bundle,HIDE_SETTINGS_ALERT_MESSAGE,This will hide Watusi settings row from WhatsApp settings and make it accessible through a transparent button on top right of WhatsApp settings page,这会从 WhatsApp 设置页中隐藏 Watusi 设置入口，并改为通过设置页右上角的透明按钮访问。,key_override
Resources.bundle,AUTO_REPLY_DELETE_CONFIRMATION_ALERT_MESSAGE,Delete Auto Reply,删除自动回复,value_override
Resources.bundle,HIDE_CHAT_LIST_CONTACT_PICTURE_LABEL,Hide Pictures in Chat List,在聊天列表中隐藏头像,key_override
Resources.bundle,HIDE_META_AI_FLOATING_BUTTON_LABEL,Hide Meta AI Floating Button,隐藏 Meta AI 悬浮按钮,key_override
Resources.bundle,CONTACTS_SPOOFING_CONTACTS,Contacts,联系人,value_override
Resources.bundle,AUTO_REPLY_TIME_RANGE_NO_RANGE,No Range,不限时段,value_override
Resources.bundle,HELP_LABEL,Help,帮助,value_override
Resources.bundle,AUTO_REPLY_DESC,"When enabled, whenever you receive a message from a chat, Watusi will go through your enabled auto replies to find matches. One or more Auto Reply can be sent if their configurations match the incoming message/sender.",启用后，每当你收到某个聊天的消息时，Watusi 会遍历所有已启用的自动回复规则并查找匹配项。只要规则配置与收到的消息或发送者匹配，就可以发送一条或多条自动回复。,key_override
Resources.bundle,UNLIMITED_PINNED_CHATS_DESC,Pin more than 3 chats,置顶超过 3 个聊天。,key_override
Resources.bundle,REVOKE_MESSAGES_DISABLE_CONTACTS_REVOKING_BY_ADMIN_ALERT_MESSAGE,Message deleted by group admin #admin on #date,群管理员 #admin 于 #date 删除了这条消息,key_override
Resources.bundle,FAVORITES_CONTROLLER_ADD_ALL_BUTTON,Add All,全部添加,key_override
Resources.bundle,MORE_TWEAKS_STALKY_DESC,Track and store your contacts latest profile & statuses updates,跟踪并保存联系人最新的头像和状态更新。,key_override
Resources.bundle,CHAT_DETAILS_VOICE,Voice,语音,value_override
Resources.bundle,STATUS_TEXT_COPIED_TO_CLIPBOARD,Text Copied to Clipboard,文本已复制到剪贴板,key_override
Resources.bundle,AUTO_REPLY_MESSAGE_HEADER,Reply With,回复内容,value_override
Resources.bundle,IMPORT_SETTINGS_NOT_ALL_FILES_IMPORTED_MESSAGE,Some files were not imported because it was not a valid PLIST,部分文件未导入，因为它们不是有效的 PLIST。,key_override
Resources.bundle,AUTO_REPLY_MESSAGE_TYPE_DOCUMENT,Document,文档,key_override
Resources.bundle,HIDE_CHAT_BUTTONS_DESC,"Hide Camera, Recording and Stickers buttons in chats.",隐藏聊天中的相机、录音和贴纸按钮。,key_override
Resources.bundle,STATUS_ARCHIVE_NO_ARCHIVED_STATUSES_MESSAGE,You did not post any statuses yet,你还没有发布过任何状态。,key_override
Resources.bundle,SAVE_PROFILE_PHOTOS_DESC,Long press on profile photos to save them after WhatsApp removed their save button,在 WhatsApp 移除保存按钮后，长按头像即可保存。,key_override
Resources.bundle,LOGIN_TO_PURCHASE_MESSAGE,You have to login with your account in order to purchase Watusi.,你需要先登录账号才能购买 Watusi。,key_override
Resources.bundle,SENT_COLOR_LABEL,Sent Color,发送颜色,key_override
Resources.bundle,STATUS_SHOW_STATUSES_MY_STATUS_ADD_MEDIA_STATUS,Add Media Status,添加媒体状态,key_override
Resources.bundle,HOW_TO_ENABLE_CC_TOGGLES_CONTENT,"CCSupport package is required to load 3rd party modules into your Control Center, you can then go into your Control Center settings and add Watusi to your active toggles and customize the toggles in it.",需要安装 CCSupport 套件才能将第三方模块加载到控制中心。之后你可以前往控制中心设置，将 Watusi 添加到已启用开关中，并自定义其中的开关。,key_override
Resources.bundle,CONTINUED_AUDIO_MESSAGES_HIDE_WHEN_STOPPED,Hide Audio Bar When Finished,播放结束后隐藏音频栏,key_override
Resources.bundle,SHARE_SHEET_DESC,"Add more options to WhatsApp media sharing sheet such as sending latest photo in camera roll, music sharing, block/unblock contact.",在 WhatsApp 媒体分享面板中增加更多选项，例如发送相册最新照片、分享音乐、拉黑或取消拉黑联系人。,key_override
Resources.bundle,SHARE_SHEET_POLL_BUTTON,Create Poll,创建投票,key_override
Resources.bundle,PRIVATE_NOTIFICATION_MESSAGE_LABEL,Message,消息,value_override
Resources.bundle,MESSAGE_SCHEDULER_ALERT_VIEW_SCHEDULED_MESSAGES,View Scheduled Messages,查看定时消息,key_override
Resources.bundle,PRIVATE_NOTIFICATION_TITLE_LABEL,Title,标题,value_override
Resources.bundle,CHAT_LIST_SORT_MESSAGE_DATE_DESC_TITLE,Default,默认,value_override
Resources.bundle,STICKERS_MANAGER_LABEL,Stickers Manager,贴纸管理,key_override
Resources.bundle,CHAT_DETAILS_AUDIO,Audio,音频,value_override
Resources.bundle,DATE_BUBBLE_COLOR_LABEL,Date Bubble Color,日期气泡颜色,key_override
Resources.bundle,ARCHIVE_LOCK_DESC,Long press on chats in archive view in order to lock into archived chats which means the locked chat will not move back into chats list when it receives a new message. You can manage locked chats from the top right button on archived chats view.,在归档列表中长按聊天即可将其锁定在归档中。被锁定的聊天即使收到新消息，也不会移回聊天列表。你可以通过归档页面右上角的按钮管理这些已锁定聊天。,key_override
Resources.bundle,GENERATE_BROADCAST_LISTS_LABEL,Generate Broadcast Lists,生成广播列表,key_override
Resources.bundle,STOP_HIDDEN_CHATS_OUTSIDE_NOTIF_LABEL,Hide System-Wide Notifications,隐藏系统级通知,key_override
Resources.bundle,AUTO_REPLY_RECIPIENTS_NONE,None,无,value_override
Resources.bundle,FORWARD_%zd_MESSAGE_TO_%zd_CONTACT,Forward %zd message to %zd contact.,将 %zd 条消息转发给 %zd 个联系人。,key_override
Resources.bundle,TYPING_INDICATOR_BUTTON,Typing Indicator,输入状态指示,key_override
Resources.bundle,TAP_TO_RECORD_LABEL,Tap To Record,点按录音,key_override
Resources.bundle,STATUS_CONTACT_GROUPS_EMPTY_MESSAGE,"You don't have any contact groups yet, use the + button to create one.",你还没有任何联系人分组，请点击 + 按钮创建。,key_override
Resources.bundle,LASTSEEN_AUTO_SWITCH_DESC,Auto set your Lastseen privacy to Nobody when WhatsApp enter background and set it back to 'My Contacts' when you open WhatsApp,当 WhatsApp 进入后台时，自动将“最后上线”隐私设置为“无人”，当你打开 WhatsApp 时再恢复为“我的联系人”。,key_override
Resources.bundle,AUTO_REPLY_DELAY_ONE_HOUR_SHORT,1 hr,1 小时,key_override
Resources.bundle,DISABLE_INTERNET_CONNECTION_DESC,Completely disable internet access inside WhatsApp so you won't be able to send/receive any messages and WhatsApp will not be able to send/receive any data to/from the server. You can also enable/disable this feature from your device Control Center.,彻底禁用 WhatsApp 内的网络访问，这样你将无法收发任何消息，WhatsApp 也无法向服务器收发任何数据。你也可以在设备控制中心中启用或关闭此功能。,key_override
Resources.bundle,CHAT_DETAILS_DOCUMENT,Document,文档,value_override
Resources.bundle,STATUS_CONTACT_GROUPS_ENTER_GROUP_NAME_MESSAGE,Enter group name,输入分组名称,key_override
Resources.bundle,ARCHIVE_LOCK_UNLOCK_CONTEXT_MENU_BUTTON,Unlock from Archive,从归档中解锁,key_override
Resources.bundle,CHAT_LIST_ACTIONS_LABEL,Chat List More Actions,聊天列表更多操作,key_override
Resources.bundle,REDEEM_SUCCESSFULL_MESSAGE,Watusi license has been added to your account,Watusi 许可证已添加到你的账号,key_override
Resources.bundle,CHAT_LIST_FILTER_GROUPS_TITLE,Groups,群组,key_override
Resources.bundle,CONFIRM_SENDING_STICKER_LABEL,Confirm Sending Stickers,确认发送贴纸,key_override
Resources.bundle,RESET_SETTINGS_CONFIRM_MESSAGE,"This will delete your current settings, you can't undo this action",这将删除你当前的设置，且无法撤销此操作。,key_override
Resources.bundle,DEBUG_MENU,Debug Menu,调试菜单,key_override
Resources.bundle,STATUS_SHOW_STATUSES_CONTACT_INFO_BUTTON,Contact Info,联系人信息,key_override
Resources.bundle,GENERATE_BROADCAST_LISTS_ALERT_ACTION,Generate,生成,key_override
Resources.bundle,MESSAGE_HISTORY_DELETED_FROM_LINKED_DEVICE,Deleted from Linked Device,已从已关联设备删除,key_override
Resources.bundle,AUTO_REPLY_RECIPIENTS_SELECTED_CHATS_LABEL,Chats,聊天,value_override
Resources.bundle,CHAT_LIST_SORT_NAME_ASC_SHORT_TITLE,Name ↓,名称 ↓,key_override
Resources.bundle,AUTO_REPLY_MESSAGE_TYPE_GIF,GIF,GIF,value_override
Resources.bundle,REDEEM_TITLE,Redeem,兑换,value_override
Resources.bundle,ENABLE_LOCAL_NOTIFICATIONS_DESC,This will keep WhatsApp active in background in order to receive notifications but will increase your battery usage.,这会让 WhatsApp 在后台保持活跃以接收通知，但会增加电池消耗。,key_override
Resources.bundle,STATUS_DOWNLOAD_VIDEO_SAVE_TO_LIBRARY,Save Video to Library,保存视频到相册,key_override
Resources.bundle,EDIT,Edit,编辑,value_override
Resources.bundle,CUSTOM_TONES_DOWNLOADING_ALERT_TITLE,Downloading...,下载中...,key_override
Resources.bundle,STATUS_SPLIT_VIDEO_DESC,"When uploading a video to your status, WhatsApp allows only 30 seconds videos, this feature will automatically split longer videos into multiple statuses trimmed at the right time to be played consecutively.",上传状态视频时，WhatsApp 只允许 30 秒的视频。此功能会自动将较长视频按合适的时长切分为多个状态，以便连续播放。,key_override
Resources.bundle,AUTO_REPLY_MESSAGE_AVAILABLE_TAGS_CHAT_NAME_DESC,Replaced with contact name you saved or group subject,替换为你保存的联系人名称或群组标题。,key_override
Resources.bundle,GENERATE_BROADCAST_LISTS_DESC,Adds a button in Broadcast Lists to automatically generate multiple lists from your WhatsApp contacts.,在“广播列表”中新增一个按钮，可根据你的 WhatsApp 联系人自动生成多个列表。,key_override
Resources.bundle,AUTO_REPLY_MESSAGE_TYPE_STICKER,Sticker,贴纸,key_override
Resources.bundle,CHAT_LIST_FILTER_CONTACTS_SHORT_TITLE,Contacts,联系人,value_override
Resources.bundle,AUTO_REPLY_MESSAGE_AVAILABLE_TAGS_MESSAGE_DATE_DESC,"Replaced with the received message date in the format of 1 Jan 2020, 1:20",替换为收到消息的日期，格式类似 2020 年 1 月 1 日 1:20。,key_override
Resources.bundle,AUTO_REPLY_MESSAGE_WEB_REQUEST_RESPONSE_FORMAT_LABEL,Format,格式,value_override
Resources.bundle,AUTO_REPLY_MESSAGE_TYPE_CONTACT,Contact,联系人,key_override
Resources.bundle,AUTO_REPLY_LABEL,Auto Reply,自动回复,value_override
Resources.bundle,MESSAGE_STATUS_FOOTER_SECTION_FOOTER,"Text next to timestamp, mainly for document bubble",时间戳旁边的文字，主要用于文档气泡。,key_override
Resources.bundle,PRIVATE_NOTIFICATION_MESSAGE_PLACEHOLDER,Notification Message,通知内容,key_override
Resources.bundle,SHARE_SHEET_WEB_IMAGE_PICKER_BUTTON,Share Image from Web,从网页分享图片,key_override
Resources.bundle,OPEN_PICTURE_ON_TAP_DESC,This will open your contact profile picture when you tap on his thumbnail in Chat List or Favorites page.,在聊天列表或收藏页面点按联系人的头像缩略图时打开其头像。,key_override
Resources.bundle,AUTO_REPLY_DELAY_LABEL,Delay Between Replies,回复间隔,key_override
Resources.bundle,HIDE_LAST_MESSAGE_NONE,None,无,value_override
Resources.bundle,TAP_TO_RECORD_DESC,Tap once to start voice recording and tap again to send or tap and slide to delete.,点按一次开始录制语音，再次点按即可发送，或点按后滑动以删除。,key_override
Resources.bundle,CHAT_DETAILS_SECTION_DESC,Add a section inside contact and group info pages to view more details about the chat,在联系人和群组信息页中新增一个分区，用于查看更多聊天详情。,key_override
Resources.bundle,UNBLOCK_CONTACT_MESSAGE,Tap 'Unblock' to start receiving messages from contact.,点按“取消拉黑”即可重新接收该联系人的消息。,key_override
Resources.bundle,STATUS_SHOW_STATUSES_MY_STATUS_ADD_TEXT_STATUS,Add Text Status,添加文字状态,key_override
Resources.bundle,AUTO_REPLY_EDIT_TEXT_MATCHING_TYPE_MESSAGE_CONTAINS,Message Contains,消息包含,key_override
Resources.bundle,MESSAGE_SCHEDULER_MESSAGES_LABEL,Scheduled Messages,定时消息,value_override
Resources.bundle,AUTO_REPLY_EDIT_NAME_PLACEHOLDER,Auto Reply Name,自动回复名称,key_override
Resources.bundle,AUTO_REPLY_DELAY_ONE_MINUTE_SHORT,1 min,1 分,key_override
Resources.bundle,STATUS_ADDONS_LABEL,Status,状态,key_override
Resources.bundle,AUTO_REPLY_LIST_TITLE,Auto Replies,自动回复,value_override
Resources.bundle,ABOUT_ON_CHATS_DESC,Show your contact about message on a little bar at the top of chat view,在聊天界面顶部的小栏中显示联系人的简介。,key_override
Resources.bundle,LOCAL_NOTIFICATIONS_TYPE_AUDIO,Audio,音频,value_override
Resources.bundle,IN_APP_BROWSER_DOMAINS_LIST_HEADER,Domains,域名,key_override
Resources.bundle,MEDIA_FORWARD_BUTTON_DESC,Adds a new forward button on top of media browser in order to forward the media message to multiple contacts at once.,在媒体浏览器顶部新增转发按钮，可将媒体消息转发给多个联系人。,key_override
Resources.bundle,STOP_HIDDEN_CHATS_IN_APP_NOTIF_LABEL,Hide In-App Notifications,隐藏应用内通知,key_override
Resources.bundle,AUTO_REPLY_EDIT_TEXT_MATCHING_TYPE_MESSAGE_EQUALS,Message Contains,消息完全匹配,key_override
Resources.bundle,FORCE_RECEIPTS_ON_TYPING_DESC,Read receipts will be sent when you start typing or recording a voice message,当你开始输入或录制语音消息时将发送已读回执。,key_override
Resources.bundle,MESSAGE_FORWARD_BUTTON_TITLE,Forward,转发,key_override
Resources.bundle,CHAT_DETAILS_LINKS,Links,链接,value_override
Resources.bundle,SEND_RECORDING_INDICATOR_BUTTON,Send Recording Indicator,发送录音状态,key_override
Resources.bundle,CHAT_PROTECTION_LABEL,Chat Protection,聊天保护,key_override
Resources.bundle,PRIVATE_NOTIFICATION_FILTER_WHITELIST_LABEL,Whitelist,白名单,value_override
Resources.bundle,STATUS_SHOW_STATUSES_MY_STATUS_PRIVACY,Privacy,隐私,value_override
Resources.bundle,CHAT_LIST_SORT_NAME_DESC_TITLE,Chat Name Z-A,聊天名称 Z-A,key_override
Resources.bundle,CHAT_DETAILS_IMAGE,Image,图片,value_override
Resources.bundle,SHARE_SHEET_BLOCK_CONTACT_BUTTON,Block Contact,拉黑联系人,key_override
Resources.bundle,HIDE_FREQUENTLY_CONTACTED_LABEL,Hide Frequently Contacted,隐藏常用联系人,key_override
Resources.bundle,BATCH_DELETE_MESSAGES_DESC,Adds a delete button in chat edit toolbar to delete multiple messages at once,在聊天编辑工具栏中新增删除按钮，可一次删除多条消息。,key_override
Resources.bundle,SHARE_SHEET_FULL_SCREENSHOT_ALERT_MESSAGE,"This will include only the newer messages from current position, you should scroll up to your starting position and then screenshot.",这只会包含从当前位置开始较新的消息，请先向上滚动到起始位置后再截图。,key_override
Resources.bundle,CHAT_DETAILS_PROFILE_NAME,Profile Name,昵称,value_override
Resources.bundle,AUTO_REPLY_EDIT_RECIPIENTS_LABEL,Recipients,接收对象,key_override
Resources.bundle,DEFAULT,Default,默认,value_override
Resources.bundle,UNHIDE_CHAT_ALERT_MESSAGE,Remove chat from Hidden Chats?,要将该聊天从“隐藏聊天”中移除吗？,key_override
Resources.bundle,DISABLE_LANDSCAPE_LABEL,Disable Landscape,禁止横屏,key_override
Resources.bundle,AUTO_REPLY_ENABLE_LABEL,Enable,启用,value_override
Resources.bundle,INCREASE_FORWARD_CONTACTS_LIMIT_DESC,Increase the number of contacts limit when forwarding a message from 5 to 20. This used to allow forwarding a message to unlimited number of contacts but WhatsApp started checking that on their server and I disabled it to protect your account.,将转发消息时的联系人数量上限从 5 提高到 20。此前曾支持无限转发，但 WhatsApp 开始在服务端检查这一行为，我已禁用它以保护你的账号。,key_override
Resources.bundle,DISABLE_MARK_VIEW_ONCE_MEDIA_OPENED_DESC,Open view once media unlimited times and mark as opened using a button in media view,允许无限次打开“一次查看”媒体，并通过媒体查看器中的按钮手动标记为已打开。,key_override
Resources.bundle,CUSTOM_TONES_ERROR_IMPORT_ALERT_MESSAGE,File not supported,不支持的文件,key_override
Resources.bundle,DISABLE_INTERNET_CONNECTION_LABEL,Disable Internet Access,禁止网络访问,key_override
Resources.bundle,CONTINUED_AUDIO_MESSAGES_DESC,"When you're playing an audio message, you'll be able to go outside of the chat and keep on listening to the message. You'll also see a little bar on top of the chats and the chats list in which you can control the audio message.",播放语音消息时，你可以离开当前聊天继续收听。聊天页和聊天列表顶部还会显示一个小条，用于控制该语音消息。,key_override
Resources.bundle,AUTO_REPLY_TIME_RANGE_ENABLE_LABEL,Enable Time Range,启用时间范围,key_override
Resources.bundle,GENERATE_BROADCAST_LISTS_ALERT_TITLE,Generate Broadcast Lists,生成广播列表,key_override
Resources.bundle,DISABLE_DELIVERY_RECEIPTS_LABEL,Disable Delivery Receipts,禁用送达回执,key_override
Resources.bundle,FORCE_RECEIPTS_ON_REPLY_DESC,Read receipts will be sent when you send a message,当你发送消息时将发送已读回执。,key_override
Resources.bundle,TWEET_FOR_2_DAYS_AD_FREE_BUTTON,Tweet for 2 days ad-free,发推可获 2 天无广告,key_override
Resources.bundle,UPDATE_WITH_CONTROL_CENTER_TOGGLES_DESC,"By default, Control Center toggle reads and updates the settings of main WhatsApp app, enable this option if you want to update this app's settings with the Control Center toggle.",默认情况下，控制中心开关会读取并更新主 WhatsApp 应用的设置。如果你希望通过控制中心开关更新此应用的设置，请启用此选项。,key_override
Resources.bundle,DELETE_APP_PASSCODE,Delete App Passcode,删除应用密码,key_override
Resources.bundle,CUSTOM_TONES_RENAME_ALERT_FIELD_PLACEHOLDER,Filename,文件名,value_override
Resources.bundle,RESET_SETTINGS_BUTTON,Reset,重置,key_override
Resources.bundle,CHECK_FOR_UPDATES_BUTTON,Check for Update,检查更新,key_override
Resources.bundle,RESET_SETTINGS_LABEL,Reset Settings,重置设置,key_override
Resources.bundle,AUTO_REPLY_EDIT_TEXT_MATCHING_LABEL,Text Matching,文本匹配,key_override
Resources.bundle,SHARE_SHEET_STYLE,Style,样式,value_override
Resources.bundle,UPDATES_SECTION_TITLE,Updates,更新,value_override
Resources.bundle,CUSTOM_TONES_DOWNLOAD_ALERT_FIELD_PLACEHOLDER,File URL,文件 URL,value_override
Resources.bundle,AUTO_REPLY_RECIPIENTS_ALL_GROUPS_EXCEPT,Groups Except,除以下外的所有群组,key_override
Resources.bundle,SHARE_SHEET_STYLE_DEFAULT,Default,默认,value_override
Resources.bundle,MANAGE_TABS_ORGANIZE_DISABLED_SECTION_HEADER,Disabled,已禁用,value_override
Resources.bundle,THEME_CHATS_SECTION_TITLE,Chats,聊天,value_override
Resources.bundle,CHAT_PROTECTION_USE_FACE_ID,Use Face ID,使用 Face ID,value_override
Resources.bundle,STATUS_ARCHIVE_VIEWERS_DELETE_STATUS_BUTTON,Delete Status,删除状态,key_override
Resources.bundle,ARCHIVE_LOCK_LOCK_BUTTON,Lock,锁定,value_override
Resources.bundle,BLOCK_CONTACT,Block Contact,拉黑联系人,value_override
Resources.bundle,EXPORT_SETTINGS_FILE_NOT_FOUND_MESSAGE,Settings file not found or no settings saved so far,未找到设置文件，或目前尚未保存任何设置。,key_override
Resources.bundle,DISABLE_LARGE_EMOJI_LABEL,Disable Large Emoji,禁用大号表情,key_override
Resources.bundle,PRIVATE_NOTIFICATION_FILTER_BLACKLIST_LABEL,Blacklist,黑名单,value_override
Resources.bundle,AUTO_REPLY_DELAY_CUSTOM_MINUTES_PLACEHOLDER,Minutes,分钟,key_override
Resources.bundle,STATUS_ARCHIVE_LABEL,My Statuses Archive,我的状态归档,key_override
Resources.bundle,STATUS_CAPTION_COPIED_TO_CLIPBOARD,Caption Copied to Clipboard,说明文字已复制到剪贴板,key_override
Resources.bundle,AUTO_REPLY_MESSAGE_WEB_URL_LABEL,Web URL,网页 URL,key_override
Resources.bundle,TO,to,至,key_override
Resources.bundle,HIDE_CHAT_CALL_BUTTONS_DESC,Hide call buttons from the chats.,隐藏聊天中的通话按钮。,key_override
Resources.bundle,CLEAR_BROADCAST_ALERT_MESSAGE,Clear broadcast chat history,清空广播聊天记录,key_override
Resources.bundle,FREEZE_LASTSEEN_DESC,You will not be shown online and your last seen will not be updated when you open WhatsApp,打开 WhatsApp 时，你不会显示为在线，最后上线时间也不会更新。,key_override
Resources.bundle,CHAT_LIST_FILTER_ALL_SHORT_TITLE,All,全部,value_override
Resources.bundle,MY_NUMBER,My Number:,我的号码：,key_override
Resources.bundle,SHOW_REACTIONS_DATE_DESC,View message reactions date,查看消息回应的时间。,key_override
Resources.bundle,GROUPS_LIST_LABEL,Groups List,群组列表,key_override
Resources.bundle,SHARE_SHEET_SHARE_MUSIC_BUTTON,Share Music,分享音乐,value_override
Resources.bundle,BARS_BACKGROUND_COLOR_LABEL,Bars Background Color,栏背景颜色,key_override
Resources.bundle,IN_APP_BROWSER_ADD_DOMAIN_LABEL,Add Domain,添加域名,key_override
Resources.bundle,UNLIMITED_PINNED_CHATS_LABEL,Unlimited Pinned Chats,无限置顶聊天,key_override
Resources.bundle,BLOCK,Block,拉黑,key_override
Resources.bundle,MESSAGE_SCHEDULER_SHOW_NOTIFICATION_LABEL,Show Notification,显示通知,key_override
Resources.bundle,ALLOW_VIEW_ONCE_SCREENSHOT_LABEL,Screenshot & Record View Once,截图并录制“一次查看”,key_override
Resources.bundle,UNBLOCK,Unblock,取消拉黑,key_override
Resources.bundle,ARCHIVE_LOCK_TABLE_TITLE,Locked in Archive,已锁定在归档中,key_override
Resources.bundle,BLACKLIST,Blacklist,黑名单,value_override
Resources.bundle,CONTACTS_SPOOFING_FIRST_NAME_PLACEHOLDER,First Name,名,key_override
Resources.bundle,LOADING_STICKER_PACKS_LABEL,Loading Sticker Packs...,正在加载贴纸包...,key_override
Resources.bundle,HIDE_LAST_MESSAGE_LOCKED,Locked,已锁定,key_override
Resources.bundle,DISABLE_MARK_VIEW_ONCE_MEDIA_OPENED_LABEL,Manually Mark View Once Opened,手动标记“一次查看”为已打开,key_override
Resources.bundle,HOW_TO_REMOVE_ADS,How to remove Ads,如何去除广告,key_override
Resources.bundle,SHARE_SHEET_LABEL,Sharing Sheet,分享面板,key_override
Resources.bundle,AUTO_REPLY_MESSAGE_SOURCE_LOCAL,Local,本地,key_override
Resources.bundle,IMPORT_NEW_THEME_ACTION_BUTTON,Import Theme from Files,从文件导入主题,key_override
Resources.bundle,HOW_TO_REMOVE_ADS_TITLE,How to remove advertisments?,如何去除广告？,key_override
Resources.bundle,HIDE_SEPARATOR_LABEL,Hide Separators,隐藏分隔线,key_override
Resources.bundle,CHAT_LIST_SORT_NAME_ASC_TITLE,Chat Name A-Z,聊天名称 A-Z,key_override
Resources.bundle,STATUS_SPLIT_VIDEO_LABEL,Split Long Videos,拆分长视频,key_override
Resources.bundle,CONTACT_SUPPORT_LABEL,Contact Support,联系支持,key_override
Resources.bundle,ARCHIVE_LOCK_LOCK_TITLE,Lock Chat,锁定聊天,key_override
Resources.bundle,RECEIVED_BUBBLE_OPACITY_LABEL,Received Bubble Opacity,接收气泡不透明度,key_override
Resources.bundle,HOW_TO_ENABLE_CC_TOGGLES_TITLE,How to enable Control Center toggles?,如何启用控制中心开关？,key_override
Resources.bundle,AUTO_REPLY_RECIPIENTS_CONTACTS,Contacts,联系人,value_override
Resources.bundle,ADD_STICKERS_ALERT_CREATE_STICKER_PACK,Create Sticker Pack,创建贴纸包,key_override
Resources.bundle,DISABLE_DELIVERY_RECEIPTS_DESC,Your contacts will not see that you received their messages. It will show only one check.,你的联系人将看不到你已收到他们的消息，消息只会显示一个勾。,key_override
